GENUS$,SPECIES$,FAMILY$,GRWFRM2$,GRWFRM1$,SP$,SG60C_AVG,SG100C_AVG,SG60C_SEM,SG100C_SEM,SG60C_N,SG100C_N,WSG_CHAVE,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY,DBH_AVG,HEIGHT_AVG,DIAM_AVG,DBH_SEM,HEIGHT_SEM,DIAM_SEM,DBH_N,HEIGHT_N,DIAM_N,LEAFAREA_AVD,LEAFLET_AVD,LEAFTHCK_AVD,LMADISC_AVD,LMALEAF_AVD,LMALAM_AVD,LDDISC_AVD,LDMC_AVD,LEAFAREA_SED,LEAFLET_SED,LEAFTHCK_SED,LMADISC_SED,LMALEAF_SED,LMALAM_SED,LDDISC_SED,LDMC_SED,LEAFAREA_ND,LEAFLET_ND,LEAFTHCK_ND,LMADISC_ND,LMALEAF_ND,LMALAM_ND,LDDISC_ND,LDMC_ND,LEAFAREA_AVI,LEAFLET_AVI,LEAFTHCK_AVI,LMADISC_AVI,LMALEAF_AVI,LMALAM_AVI,LDDISC_AVI,LDMC_AVI,LEAFAREA_SEI,LEAFLET_SEI,LEAFTHCK_SEI,LMADISC_SEI,LMALEAF_SEI,LMALAM_SEI,LDDISC_SEI,LDMC_SEI,LEAFAREA_NI,LEAFLET_NI,LEAFTHCK_NI,LMADISC_NI,LMALEAF_NI,LMALAM_NI,LDDISC_NI,LDMC_NI,AVG_LAMTUF,AVG_VEINTUF,SEM_LAMTUF,SEM_VEINTUF,N_LAMTUF,N_VEINTUF,RGR_10,N_RGR10,RGR_50,N_RGR50,RGR_100,N_RGR100,MORT_10,N_MORT10,MORT_100,N_MORT100
Pseudosamane,guachapele,Fabaceae:Mim,T,T,ALBIGU,0.61119633,0.602196965,0.009578664,0.009466335,5,5,,0.65758,0.55276,5.6,4.4,0.030155,0.024675,0.01508,0.01282,1,5,20,20,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albizia,niopoides,Fabaceae:Mim,T,T,ALBINI,0.713720116,0.692381671,0.010360052,0.014193044,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchornea,costaricensi,Euphorbiacea,T,T,ALCHCO,0.39916831,0.393048399,0.021273009,0.02139884,5,5,0.30144,0.170586667,0.073746667,1.666666667,0.333333333,0.052346667,0.03016,0.023023333,0.019603333,3,15,25,25,0.034,450.25,19.1890563,5.7165625,34.47795189,1.675047866,1.017519371,4,4,4,21.21722222,,171.6666667,66.08226568,66.34367647,63.61342756,0.392391403,0.390009051,1.578507949,,20.02313477,5.027676353,6.378805349,6.328913237,0.035477477,0.011885277,3,0,3,3,3,3,3,3,39.43166667,,155,61.19352664,63.4399092,59.71245079,0.396536604,0.403731438,2.516268732,,18.733017,7.414771553,8.32000726,7.77762463,0.007250717,0.012933117,4,0,4,4,4,4,4,4,600.6428571,3942.214286,34.63517826,205.4824668,14,14,4.310431034,174,2.170429224,219,0.961361199,634,9.997481191,638,1.880825641,780
Alchornea,latifolia,Euphorbiacea,M,M,ALCHLA,0.466968826,0.451820767,0.016751331,0.015970721,7,8,0.4175,,,,,,,,,,,,,,32,5.97,0.9275,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,53.86,,170,40.79568442,48.69002735,44.14120732,0.239974614,0.330757034,,,,,,,,,1,0,1,1,1,1,1,1,,,,,,,9.2235,2,,0,1.096166667,6,0,3,3.66375,8
Alibertia,edulis,Rubiaceae,U,U,ALIBED,0.799510338,0.788040125,0.037241053,0.037839293,6,6,0.76,3.812,1.64686,56.2,0,0.02565,0.0137,0.01922,0.012025,1,5,20,20,0.015,74.6,10.106,2.326,2.249444376,0.369006775,0.255004105,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,40.27166667,,164.8484848,60.38129099,61.85612735,60.0185493,0.364225386,0.35936119,3.831299856,,7.569391264,4.458359357,4.473839318,4.33357765,0.015090836,0.009963432,11,0,11,11,11,11,11,11,487.8461538,2859.623077,21.42203399,231.2269296,13,13,1.655512934,1353,0.80884058,138,1.3795,4,1.752250572,1748,8.860571429,8
Allophylus,gentryi,Sapindaceae,U,U,ALLOGE,0.49111137,0.482732692,0.026238485,0.025952539,5,5,,0.27296,0.0834,1,0,0.10348,0.06378,0.0588,0.0347,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allophylus,racemosus,Sapindaceae,"T,U",,ALLOOC,0.551277125,0.545735674,0.007684467,0.007616589,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allophylus,psilospermus,Sapindaceae,M,M,ALLOPS,0.543952586,0.534386981,0.014106915,0.013578374,5,5,,0.2326,0.088488,1,0,0.06546,0.042012,0.044868,0.031092,5,25,25,25,,158.4,16.30640377,3.332142857,25.28161387,1.728510936,0.552752462,5,5,4,166.415,3,160,42.48145651,59.32484771,50.39730072,0.26787249,0.361282787,,,,,,,,,1,1,1,1,1,1,1,1,108.445,2.958333333,135.462963,34.56457131,37.93805578,34.90422882,0.254055413,0.292423557,12.6956784,0.041666667,5.330712448,2.483093266,2.655497443,2.356278827,0.010787432,0.01079458,9,8,9,9,9,9,9,9,331.9285714,1997.985714,25.50898878,133.4511068,14,14,2.524347962,319,1.737523077,130,0.887981308,107,4.640104377,594,2.743820144,139
Alseis,blackiana,Rubiaceae,T,T,ALSEBL,0.590776327,0.577973969,0.01597522,0.025006805,6,4,0.53599,0.01428,0.01264,22.88888889,0.133333333,0.0001469,9.76573E-05,0.000082,0.000049,2,5,15,10,0.0002,782.4,28.60437889,6.041047619,38.89292995,2.188217634,0.555884404,5,5,5,74.73666667,,173.3333333,67.43088334,72.47032132,69.12416268,0.389664873,0.349171367,29.64666667,,3.333333333,9.665093279,10.3288192,9.957991696,0.063476845,0.024731365,2,0,2,2,2,2,2,2,110.3025926,,157.6851852,39.55945156,44.69699269,42.87238757,0.240385757,0.265018207,19.5092267,,16.40170037,6.918261323,6.940689994,6.602594277,0.024860811,0.017493451,9,0,9,9,9,9,9,9,288.8380952,2019.242857,20.60168449,141.4402079,21,21,1.477837525,26484,1.122178074,3448,0.783965226,4026,1.488636977,35422,0.543098311,4618
Amaioua,corymbosa,Rubiaceae,U,U,AMAICO,0.689937378,0.67762665,0.012225527,0.011999969,9,9,,0.39178,0.28084,17.2,0.2,0.012625,0.00974,0.009435,0.00838,1,5,20,20,,77.2,9.808,1.806666667,15.02131818,0.773843653,0.130312991,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,106.445,,179.25,62.84558328,68.76569332,66.04148144,0.349558518,0.386912653,15.63553275,,4.816782006,3.659743508,2.975440833,2.856118027,0.015339269,0.009974724,10,0,10,10,10,10,10,10,690.7833333,3309.9,23.02725076,253.3655857,6,6,1.727636364,88,0.79644,25,0.662555556,9,1.364671875,128,2.326090909,11
Amanoa,guianensis,Euphorbiacea,T,T,AMANGU,0.784215023,0.762309836,0.016496911,0.014814273,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphilophium,paniculatum,Bignoniaceae,Climber,Climber,AMPHPA,0.486123936,0.485118998,0.005175499,0.005516596,2,2,,39.5198,26.4886,91.66666667,10.66666667,0.090526875,0.073478125,0.050489375,0.041219375,2,3,25,25,,,,,,,,,,,98.02,2,192.7777778,47.16415674,52.86548609,48.43410761,0.24731617,0.311511497,2.202554914,0,16.56450168,1.719565058,1.60264592,0.542806164,0.025919454,0.007466984,3,3,3,3,3,3,3,3,133.87,2,166.6666667,42.59384131,46.71160107,42.49036682,0.260967868,0.288106136,37.9,0,25,1.461002472,3.109015307,3.362003074,0.029829303,0.001872774,2,2,2,2,2,2,2,2,315.65,2069.63,17.20411611,296.7585712,10,10,,,,,,,,,,
Anacardium,excelsum,Anacardiacea,T,T,ANACEX,0.427421704,0.420666804,0.011255753,0.011226444,6,6,0.387835,6.654346667,3.017855556,1,0,2.197343333,1.694455,2.3829825,1.579045,4,30,30,30,1.507,1775.666667,35.11484354,12.20283333,61.08336744,1.352653474,0.661927391,6,6,5,116.0275,,236.1904762,98.25643002,111.980446,108.8970801,0.420442401,0.388229115,20.26051399,,9.763840304,5.335148841,7.024199721,6.793121685,0.01458775,0.011030018,6,0,7,7,6,6,7,6,145.8156667,,164.1666667,43.60530456,51.55911069,49.97036822,0.27118357,0.260450784,23.09625934,,9.746794345,5.444808965,6.122246426,5.942028761,0.034850571,0.015478021,5,0,5,5,5,5,5,5,619.1391304,4754.278261,27.28541484,331.0644278,23,23,5.400333333,3,1.76125,8,0.541863636,88,7.852,15,0.715477477,111
Anaxagorea,panamensis,Annonaceae,S,S,ANAXPA,,,,,,,,,,,,,,,,,,,,,51.33333333,4.99,1.499583333,1.333333333,0.398873414,0.136332798,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,35.86533333,,204,60.50797932,61.29054572,59.9139393,0.29576859,0.335946473,4.670081917,,7.160850353,4.558114909,3.198249004,3.079494569,0.015312595,0.010098002,5,0,5,5,5,5,5,5,364.07,2760.84,17.74077569,221.5824382,10,10,1.965815538,2613,0.752888889,9,,0,1.489496129,2971,,0
Andira,inermis,Fabaceae:Pap,T,T,ANDIIN,0.695288768,0.683158317,0.023780439,0.022888994,6,6,0.538567,18.57830111,4.341458889,1.15,0,5.907275,1.293045,2.612966667,0.469266667,6,25,28,28,0.792,249.75,20.80649677,3.412693452,48.81832818,4.493774703,0.784358665,4,4,4,81.4225,7,207.5,73.72443246,78.07222332,67.83337552,0.364258412,0.388751135,9.4675,0,24.16666667,0.224769611,0.855826246,0.685170874,0.046196811,0.010101581,2,2,2,2,2,2,2,2,286.8875926,11.62962963,136.1111111,45.17869184,54.87795126,44.03874733,0.332849873,0.339084032,35.44314155,0.724237454,4.437929252,2.408492592,1.990019938,2.110201472,0.016743558,0.009300385,9,9,9,9,9,9,9,9,520.9428571,3180.990476,34.73983344,165.8618442,21,21,1.402492974,854,0.713721875,320,0.33640146,137,0.762584878,1349,2.712699387,163
Annona,acuminata,Annonaceae,S,S,ANNOAC,0.66206505,0.645087275,0.029188723,0.028361245,5,5,,7.3438,1.995133333,32.66666667,2.333333333,0.065025,0.038183333,0.045841667,0.027533333,1,3,12,12,0.036,56.6,8.372,1.6825,2.942787794,1.230570599,0.391329531,5,5,4,14.165,,173.75,64.5650708,62.00456397,60.57303726,0.371293269,0.343893742,1.755,,1.25,4.551584626,2.930161967,2.103896761,0.023485906,0.001913197,2,0,2,2,2,2,2,2,20.13791667,,172.0833333,53.04562823,54.04098964,52.84632722,0.307503322,0.314622075,3.623697172,,12.68155193,5.655089065,5.653334219,5.562396502,0.023171834,0.011724674,4,0,4,4,4,4,4,4,393.125,2778.358333,49.55110482,127.1818785,12,12,1.530191532,1984,1.0177625,80,,0,2.466559863,2631,,0
Annona,glabra,Annonaceae,U,U,ANNOGL,,,,,,,,236.008115,54.747385,175.85,1.6,0.2871884,0.18847875,0.185886,0.1310485,5,23,92,92,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annona,hayesii,Annonaceae,U,U,ANNOHA,0.502377877,0.493632181,0.03644399,0.035277368,6,6,,40.05522917,6.277047917,62.10416667,0.25,0.087106771,0.037234896,0.052980208,0.02379375,4,11,44,44,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.967,1,,0,0,4,,0
Annona,purpurea,Annonaceae,M,M,ANNOPU,0.655282831,0.652530745,0.010889501,0.010042593,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annona,spraguei,Annonaceae,M,M,ANNOSP,0.432612038,0.425789773,0.042851386,0.041508884,9,9,0.558572,79.14456889,23.65814083,231.2805556,0.891666667,0.052946736,0.041702569,0.034178472,0.026683472,6,25,100,100,0.034,234.6666667,16.5081092,4.717440476,15.32245991,1.434542941,0.265919906,3,3,3,320.61375,,215,61.78354686,61.95900832,59.93229271,0.286946046,0.365218168,56.6270995,,4.138795674,6.435175132,6.063349158,5.852135436,0.02786645,0.0213499,4,0,4,4,4,4,4,4,169.87625,,128.75,31.38345696,35.2083115,33.85260811,0.24228154,0.295398074,33.27945621,,11.14664457,4.93457076,5.166362719,4.997454396,0.032537216,0.021787017,4,0,4,4,4,4,4,4,345.25,2606.06,39.29198745,214.3666305,10,10,7.066754098,183,3.014307692,52,1.217033333,90,14.55584322,472,4.488372727,110
Anthodon,panamense,Hippocrateac,Climber,Climber,ANTHPA,,0.476417208,,0.028494283,0,2,,,,,,0.16301,0.12322,0.07257,0.05817,1,,10,10,0.081,,,,,,,,,,44.905,,201.6666667,,82.51970976,,,,3.081666667,,15,,3.765137978,,,,2,0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittoniotis,trichantha,Rubiaceae,T,T,ANTITR,0.612903778,0.602854099,0.007200252,0.008110327,5,5,,0.107204,0.027892,1,0,0.008033,0.006295,0.000565,0.000371,5,25,70,70,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apeiba,'hybrid',Tiliaceae,T,T,APEIHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Apeiba,membranacea,Tiliaceae,T,T,APEIME,0.326519768,0.321387556,0.043906313,0.052806831,6,5,0.250523,9.288888,6.63092,165.16,6.64,0.017447,0.013083,0.005061,0.004113,5,25,100,100,0.069,955,28.37550231,9.269285714,66.93579013,2.350919597,0.352142857,5,5,2,63.63194444,,266,90.43230689,96.92741461,92.14549445,0.328151914,0.362358125,8.562303995,,17.4690202,6.565342116,8.26963392,7.819340065,0.03565871,0.013448563,6,0,5,6,6,6,5,6,96.45666667,,158.6111111,24.35004121,26.22785424,25.17464968,0.157172989,0.244722174,9.856894513,,25.12161776,2.733156984,3.01102914,2.828466663,0.012098192,0.015021868,3,0,3,3,3,3,3,3,629.9555556,2689.8,241.3179292,207.8607891,18,18,3.9935,96,2.091358779,262,0.799334759,935,4.507941048,458,1.942189983,1158
Apeiba,tibourbou,Tiliaceae,M,M,APEITI,0.348215083,0.342506375,0.085339313,0.084124683,5,5,0.25158,9.670168333,8.338656667,634.1166667,2.416666667,0.005734167,0.00421625,0.002042083,0.001636667,3,10,40,40,0.017,285.8,17.7249041,3.915416667,27.88081778,1.808506135,0.459502131,5,5,4,197.99625,,291.4583333,72.03866037,75.58746872,72.40011333,0.248136774,0.383974028,32.18607006,,20.12799035,6.111811837,5.687706986,5.422537991,0.013788759,0.014749526,4,0,4,4,4,4,4,4,176.5445833,,237.5,39.81231737,42.883599,41.00472183,0.163433895,0.294635739,20.34260011,,34.06488906,9.327981176,12.17645128,11.60728916,0.015192749,0.03214889,4,0,4,4,4,4,4,4,310.3214286,2157.978571,25.49552035,213.0857554,14,14,16.0339375,16,1.6880625,32,1.206373494,83,6.493876923,65,4.240336364,110
Aphelandra,sinclairiana,Acanthaceae,S,S,APHESI,0.579433233,0.566005737,0.036903326,0.035793521,5,5,,,,,,,,,,,,,,,19.75,4.5675,0.86625,6.101570836,1.455795172,0.21143483,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,112.7427778,,174.4444444,31.69251517,37.40347513,35.56570077,0.184417588,0.205231605,10.22570818,,11.56036225,2.933508946,2.740742168,2.975074573,0.022366692,0.006814272,3,0,3,3,3,3,3,3,242.5166667,1721.983333,33.67339619,193.2520227,6,6,4.65436,25,2.31,1,,0,7.850488372,43,,0
Appunia,seibertii,Rubiaceae,S,S,APPUSE,,,,,,,,,,,,,,,,,,,,,14,3.36,0.4555,4,0.45,0.2605,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,105.19,,146.6666667,26.41042931,32.84263402,31.9554383,0.181867214,0.219538283,25.44,,1.666666667,1.236232861,2.356732369,2.195378077,0.007418048,0.00756204,2,0,2,2,2,2,2,2,261.675,1503.95,39.95031028,246.6006911,4,4,3.1587,10,,0,,0,2.170363636,11,,0
Ardisia,bartlettii,Myrsinaceae,S,S,ARDIBA,,,,,,,,0.177636667,0.052686667,1,0,0.07263,0.042635,0.045635,0.0252625,6,23,23,23,,13.75,3.07,2.163125,1.31497782,0.186055547,1.676875932,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,21.143,,225.5,82.73769386,79.27364186,76.33273071,0.365557352,0.29343791,1.482801066,,9.59817691,6.045884738,4.447748939,4.556276507,0.016462306,0.009074514,5,0,5,5,5,5,5,5,372.675,2076.4625,40.97563191,192.9391234,8,8,2.1884,10,,0,,0,3.2228,16,,0
Ardisia,fendleri,Myrsinaceae,U,U,ARDIFE,,,,,,,,0.39953,0.06904,1,0,0.08933,0.03835,0.05228,0.02033,2,10,10,10,,64.16666667,6.373333333,1.921875,7.391060667,0.54201886,0.316397569,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,95.66787879,,236.7424242,67.11416253,73.23142963,70.93505385,0.282094245,0.260997134,6.196166606,,5.28416558,3.446379874,3.35932055,3.230560011,0.009411097,0.00693982,11,0,11,11,11,11,11,11,378.8388889,2887.088889,15.38960718,139.6490526,18,18,1.604713826,311,0.670515152,66,,0,0.661665871,419,0,2
Ardisia,guianensis,Myrsinaceae,S,S,ARDIGU,,,,,,,0.6192,,,,,,,,,,,,,,19,2.726,0.70075,3.492849839,0.233764839,0.095573597,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,38.29166667,,211.25,59.45156215,60.9533965,59.15935432,0.283893212,0.264560708,3.958480816,,9.16856041,4.989260968,4.605935061,4.438946887,0.025226358,0.016134908,6,0,6,6,6,6,6,6,355.025,3037.55,26.41398885,230.2942418,12,12,1.508590909,66,,0,,0,3.132095745,94,,0
Aristolochia,tonduzii,Aristolochia,Climber,Climber,ARISTO,,,,,,,,53.121,18.8125,821,39.5,0.01545,0.009625,0.00655,0.0058,1,2,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrabidaea,candicans,Bignoniaceae,Climber,Climber,ARRACA,0.47072974,0.490663613,0.021790069,0.024360251,2,3,,,,,,0.02084,0.01856,0.01232,0.01119,1,,10,10,0.019,,,,,,,,,,154.60375,2,230,61.69925826,74.50652898,63.16801994,0.268446433,0.315483046,34.33625,,,,5.131898676,,,,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrabidaea,florida,Bignoniaceae,Climber,Climber,ARRAFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6333333,3,178.3333333,62.26118229,66.1611212,60.22340449,0.348770275,0.350843364,,,,,,,,,1,1,1,1,1,1,1,1,56.87,3,160,40.12137559,40.57587076,37.59158821,0.250674144,0.258948518,,,,,,,,,1,1,1,1,1,1,1,1,453.5,2965.4,9.6,389,2,2,,,,,,,,,,
Arrabidaea,patellifera,Bignoniaceae,Climber,Climber,ARRAPA,,0.400390672,,0.032736568,0,4,,4.205,3.464,53,0,0.013475,0.011685,0.00902,0.0086,2,1,9,5,0.017,,,,,,,,,,72.523875,,175,,55.49563706,,,,6.798381711,,15,,7.588259522,,,,4,0,2,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
