SP4$,SP6$,FAMILY$,GENUS$,SPECIES$,OLDNAME$,CLIMBER$,FREE$,LIANA$,VINE$,SHRUB$,UNDERSTORY$,MIDSTORY$,TREE$,HERB$,EPIPHYTE$,HEMIEPIPHYT$,PARASITE$,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY
AMAC,AMAICO,Rubiaceae,Amaioua,corymbosa,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.531892,0.257372,12.68,1.633333333,0.012943,0.007939,0.009489,0.006433,5,25,100,100,
AMPP,AMPHPA,Bignoniaceae,Amphilophium,paniculatum,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,41.962775,30.263925,95.75,9.25,0.09136,0.07561,0.0512375,0.0414625,2,4,29,29,
ANAE,ANACEX,Anacardiacea,Anacardium,excelsum,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.654346667,3.017855556,1,0,2.197343333,1.694455,2.3829825,1.579045,4,30,30,30,1.507
ANAP,ANAXPA,Annonaceae,Anaxagorea,panamensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.433412,0.234197333,1.933333333,,0.108405333,0.07038,0.08332,0.053356667,5,23,45,45,
ANDI,ANDIIN,Fabaceae:Pap,Andira,inermis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,18.57830111,4.341458889,1.15,0,5.907275,1.293045,2.612966667,0.469266667,6,25,28,28,0.792
ANES,ANEMSA,Bignoniaceae,Anemopaegma,santaritense,,1.000000,NA,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,32.2389,27.075,47,34,0.175525,0.149925,0.10725,0.094575,1,1,4,4,
ANNA,ANNOAC,Annonaceae,Annona,acuminata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.84043,2.47219,38.4,7.625,0.0631375,0.041715,0.0438,0.0303575,2,10,40,40,0.036
ANNG,ANNOGL,Annonaceae,Annona,glabra,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,216.5764667,51.52103778,157.4,4.171428571,0.283500206,0.186112361,0.183980861,0.129716278,5,28,112,112,0.229
ANNH,ANNOHA,Annonaceae,Annona,hayesii,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,47.818809,8.425586,65.3,7.6,0.091636625,0.0424655,0.057960875,0.028202,5,21,84,84,0.062
ANNS,ANNOSP,Annonaceae,Annona,spraguei,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,79.14456889,23.65814083,231.2805556,0.891666667,0.052946736,0.041702569,0.034178472,0.026683472,6,25,100,100,0.034
ANT1,,Araceae,Anthurium,flexile,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.186806667,0.010026667,1.733333333,1,0.00898,0.003126667,0.00641,0.003123333,3,15,26,26,
ANT2,,Araceae,Anthurium,friedrichsth,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.066136,0.009028,2.68,1,0.003045,0.001136,0.001988667,0.001136,5,25,67,66,
ANT6,,Araceae,Anthurium,scandens,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.076996667,0.01656,2.133333333,,0.007044722,0.003383333,1.105460556,0.003378333,6,30,64,64,
ANT7,,,,,,,,,,,,,,,,,,0.08142,0.01644,1.04,,0.016478,0.005164,0.013126,0.004736,5,25,26,26,
ANTA,,Araceae,Anthurium,acutangulum,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.0947,0.02072,1.8,0.2,0.01722,0.00591,0.00246,0.00092,1,5,9,9,
ANTB,,Araceae,Anthurium,brownii,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.125348,0.027736,2,0,0.016232,0.005988,0.01196,0.00506,5,25,50,50,
ANTC,ANTHCL,Araceae,Anthurium,clavigerum,Anthurium ho,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.116584,0.021004,1.52,1,0.010162,0.004578,0.007502,0.004548,5,25,38,38,
ANTO,,Araceae,Anthurium,ochranthum,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.120276,0.031248,2.28,1,0.023244333,0.009900667,0.019932,0.018724,5,25,57,57,
ANTP,ANTHPA,Hippocrateac,Anthodon,panamense,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.592036667,6.46922,16.63333333,4.566666667,0.127103125,0.095673125,0.059845,0.046256875,4,12,58,58,0.081
ANTT,ANTITR,Rubiaceae,Pittoniotis,trichantha,Antirhea tri,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.107204,0.027892,1,0,0.0143,0.010948,0.00136,0.000944,5,25,25,25,0.01
APEM,APEIME,Tiliaceae,Apeiba,membranacea,Apeiba asper,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.288888,6.63092,165.16,6.64,0.017447,0.013083,0.005061,0.004113,5,25,100,100,0.069
APET,APEITI,Tiliaceae,Apeiba,tibourbou,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,11.08179833,9.922060667,620.3633333,2.5625,0.0055875,0.004232083,0.001931917,0.001783667,5,25,100,100,0.017
ARDB,ARDIBA,Myrsinaceae,Ardisia,bartlettii,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.177636667,0.052686667,1,0,0.07263,0.042635,0.045635,0.0252625,6,23,23,23,
ARDF,ARDIFE,Myrsinaceae,Ardisia,standleyana,Ardisia fend,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.39953,0.06904,1,0,0.08933,0.03835,0.05228,0.02033,2,10,10,10,
ARIC,ARISTO,Aristolochia,Aristolochia,tonduzii,Aristolochia,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,53.121,18.8125,821,39.5,0.01545,0.009625,0.00655,0.0058,1,2,8,8,
ARR1,ARRACA,Bignoniaceae,Arrabidaea,candicans,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.25599125,1.87409375,29.125,10.15,0.017062,0.01417225,0.0103495,0.0086805,5,19,86,86,0.019
ARRP,ARRAPA,Bignoniaceae,Arrabidaea,patellifera,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.4000125,2.8036725,16.75,12.575,0.019697833,0.016670833,0.014651458,0.012704271,5,15,57,53,0.017
ARRV,ARRAVE,Bignoniaceae,Arrabidaea,verrucosa,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,32.7002,18.1337,13.6,23.2,0.1676325,0.10684,0.093025,0.0626525,2,5,22,22,
ASPC,ASPICR,Apocynaceae,Aspidosperma,spruceanum,Aspidosperma,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,194.0958,89.125775,6.518518519,2,0.869586667,0.570881667,0.707129167,0.4511625,3,4,80,80,0.565
ASTG,AST2GR,Anacardiacea,Astronium,graveolens,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.05996,0.03622,1,0,0.04766,0.0274,0.02864,0.01766,1,5,5,5,0.03
ASTS,AST1ST,Arecaceae,Astrocaryum,standleyanum,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,17.797708,10.170844,1,0,9.686904,7.565884,3.278908,2.56498,5,25,25,25,7.598
ATTB,SCH1ZO,Arecaceae,Attalea,butyracea,Scheelea zon,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,39.701356,19.292864,1.12,0,15.502136,11.71282,1.637034,1.24769,5,25,25,27,
AZN2,,,,,,,,,,,,,,,,,,0.0878,0.071,1,,0.0436,0.0362,0.0066,0.0049,1,1,1,1,
BAC1,BACTC1,Arecaceae,Bactris,coloniata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.00378,1.54269,1,0,2.19676,1.18776,1.60957,0.89562,2,10,10,10,
BAC2,BACTC2,Arecaceae,Bactris,coloradonis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.7206,0.380705,1,0,0.50936,0.3227175,0.34676,0.23826,4,17,17,17,
BAC3,,,,,,,,,,,,,,,,,,1.593396,0.558696,1,,0.516268,0.314984,0.281304,0.207436,5,25,25,25,
BACM,BACTMA,Arecaceae,Bactris,major,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,19.412845,6.58707,1,0,5.612435,4.064125,2.26604,1.538495,4,20,20,20,
BANC,BANICO,Malpighiacea,Banisteriops,cornifolia,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,24.50625,9.12105,1,,3.422725,2.431325,0.937575,0.6841,2,2,3,3,
BEIP,BEILPE,Lauraceae,Beilschmiedi,pendula,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,12.785204,5.8784,1,0,8.584848,4.62106,6.817824,3.876056,5,25,25,25,3.987
BERG,BERTGU,Rubiaceae,Bertiera,guianensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.001
BOMQ,POCHQU,Bombacaceae,Pachira,quinata,Bombacopsis,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.04
BOMS,POCHSE,Bombacaceae,Pachira,sessilis,Bombacopsis,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,112.33493,32.3553,24.8,4.333333333,0.454391667,0.298718889,0.299406667,0.206786667,3,10,49,49,0.349
BONM,BONAMA,Convolvulace,Bonamia,maripoide,,1.000000,NA,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.412846667,0.27886,3.133333333,0.8,0.044921111,0.033192222,0.021834444,0.017243333,3,15,47,47,
BROA,BROSAL,Moraceae,Brosimum,alicastrum,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.94869,1.00718,1,0,1.482716,0.647694,1.6432975,0.701005,5,45,30,35,0.712
BROU,BROSUT,Moraceae,Brosimum,utile,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,12.883084,3.636604,1,0,6.76372,2.265452,5.790018,2.170888,5,25,25,25,
BUNC,BUNCCO,Malpighiacea,Bunchosia,nitida,Bunchosia co,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.119116,1.028864,1.92,0,0.774276,0.353678,0.585568,0.270028,5,25,48,48,
BURS,BURSSI,Burseraceae,Bursera,simaruba,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.563405,0.187355,1,,0.116435,0.09082,0.01633,0.012026667,3,14,14,14,0.082
BYRS,BYRSSP,Malpighiacea,Byrsonima,spicata,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.108
CAL1,CALLLA,Bignoniaceae,Callichlamys,latifolia,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,504.48,145.701,177,0,0.3027525,0.215481667,0.148231667,0.13416,3,1,22,18,0.134
CAL2,CALOLO,Clusiaceae,Calophyllum,longifolium,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,15.7695,5.25191,1,0,6.844295,3.697135,3.953775,1.95011,4,20,20,20,4.532
CALI,,Marantaceae,Calathea,inocephala,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.99795,0.8165,2.7,,0.326155,0.20446,0.258723333,0.175708333,2,6,15,15,
CAND,,Fabaceae-Pap,Canavalia,dictyota,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,12.735332,10.354328,5.72,2.16,1.060500667,0.874059667,0.716238,0.57682,5,25,92,92,
CAPF,CAPPFR,Capparaceae,Capparis,frondosa,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,10.79205505,3.202551019,14.41679894,0.088888889,0.222910185,0.109081855,0.126085093,0.073804722,6,30,120,120,0.097
CARG,CARAGU,Meliaceae,Carapa,guianensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,420.60795,126.68275,5.1,0,47.166225,16.367575,34.094175,10.831675,2,6,21,21,
CARP,,Cyclanthacea,Carludovica,palmata,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,95.144675,15.3781675,1539.3,3043.4,0.00130125,0.000190278,0.000609375,0.000190278,2,9,27,27,
CAS1,CASEAC,Flacourtiace,Casearia,aculeata,Casearia stj,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.4092,0.055366667,5.666666667,0,0.013758333,0.003725,0.006875,0.002075,1,3,10,10,
CAS2,CASEAR,Flacourtiace,Casearia,arborea,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.118,0.0375,5,0,0.00315,0.00185,0.001475,0.00115,1,1,4,4,
CAS3,CASSEL,Rhizophorace,Cassipourea,elliptica,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.572155,0.106725,5.383333333,0.466666667,0.023264444,0.011310833,0.014600556,0.007973611,3,14,35,35,
CAS4,CASTEL,Moraceae,Castilla,elastica,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,31.96277861,13.147729,14.91666667,1.270833333,0.477221875,0.219664167,0.359215167,0.193408917,5,25,100,100,
CASC,CASECO,Flacourtiace,Casearia,commersonian,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.026092778,0.176955556,7.016666667,1.633333333,0.033237222,0.015895139,0.020017639,0.011364167,3,15,46,46,
CASG,CASEGU,Flacourtiace,Casearia,guianensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.628566667,0.108266667,7,4,0.008666667,0.00455,0.004158333,0.002908333,1,3,10,10,
CASR,,,,,,,,,,,,,,,,,,0.884908,0.794836,28.4,4.8,0.015055,0.013336,0.004376,0.004155,5,25,100,100,
CASS,CASESY,Flacourtiace,Casearia,sylvestris,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,,,,,,,,,,,,,0.001
CAVP,CAVAPL,Bombacaceae,Cavanillesia,platanifolia,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.901068,2.576112,1,0,1.101865,0.991755,0.46302,0.4351,6,25,35,35,1.751
CAYG,CAYAGR,Cucurbitacea,Cayaponia,granatensis,,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.47133,1.31164,3.35,0,0.361668333,0.26988125,0.144495417,0.106477917,2,6,23,23,
